Lat,Long,radius_default,radius_small,radius_rural
48.4379584,-123.3078964,5,10,20
44.2475385,-76.5691113,5,10,20
43.889605,-78.9012235,5,10,20
48.6475636,-123.3992446,5,10,20
43.8091864,-79.130955,5,10,20
51.025513,-114.1285479,5,10,20
44.3722189,-78.7315262,5,10,20
49.8304791,-119.6298739,5,10,20
43.6968175,-79.3174235,5,10,20
45.4704951,-76.6819573,5,10,20
53.5209567,-113.4570624,5,10,20
43.9144778,-78.7887564,5,10,20
45.2981401,-75.8872192,5,10,20
53.5367782,-113.3181284,5,10,20
49.268525,-123.170498,5,10,20
49.5174158,-115.7551845,5,10,20
53.5322466,-113.6199684,5,10,20
49.673769,-124.9239657,5,10,20
50.9529871,-114.1166105,5,10,20
51.6406262,-121.2956366,5,10,20
49.268525,-123.170498,5,10,20
50.6321442,-96.989218,5,10,20
49.3344324,-123.0399994,5,10,20
43.747359,-79.207803,5,10,20
48.6117216,-93.3952784,5,10,20
52.236893,-113.8123374,5,10,20
55.1677338,-118.7961771,5,10,20
49.673832,-112.79968,5,10,20
43.7028892,-79.7908622,5,10,20
52.2956425,-106.6694559,5,10,20
44.1086844,-79.1249345,5,10,20
43.1924021,-79.5592713,5,10,20
43.792141,-79.2578129,5,10,20
43.9762504,-78.1717872,5,10,20
42.9909112,-81.0706925,5,10,20
49.1047608,-122.7339355,5,10,20
43.918164,-78.587508,5,10,20
43.1547492,-80.2596583,5,10,20
45.449526,-75.586893,5,10,20
52.2022748,-105.1311991,5,10,20
43.1388657,-79.10034,5,10,20
49.1038196,-122.6514392,5,10,20
43.456456,-80.4606636,5,10,20
50.263156,-119.2661187,5,10,20
33.8184115,-117.8365331,5,10,20
38.8134269,-90.2920274,5,10,20
39.6768412,-104.9147506,5,10,20
38.5933345,-90.5707346,5,10,20
48.0506364,-122.175756,5,10,20
44.6783683,-90.1619244,5,10,20
38.8588723,-104.7926079,5,10,20
42.9152799,-88.009989,5,10,20
30.3672584,-95.4838711,5,10,20
38.8978518,-94.7784451,5,10,20
44.9257555,-93.3875283,5,10,20
32.821952,-117.184314,5,10,20
36.8080997,-119.7826267,5,10,20
41.5106009,-87.847476,5,10,20
29.1526571,-81.0180112,5,10,20
43.034355,-83.5966976,5,10,20
33.5759742,-111.9070374,5,10,20
47.5432174,-122.6258141,5,10,20
40.7948964,-73.0585523,5,10,20
36.9854151,-121.9178233,5,10,20
42.8635199,-71.3540946,5,10,20
44.9920828,-93.1653246,5,10,20
36.7873125,-76.0005094,5,10,20
41.6827207,-91.5949396,5,10,20
47.7746836,-116.7870872,5,10,20
39.6260787,-84.188008,5,10,20
38.9243212,-94.5856244,5,10,20
46.3554815,-94.7969563,5,10,20
39.3758773,-76.7251362,5,10,20
40.4736321,-80.0969955,5,10,20
42.8596726,-85.7245851,5,10,20
36.1079735,-79.8258269,5,10,20
42.2819767,-83.1867855,5,10,20
39.6371942,-84.3488235,5,10,20
38.7429013,-77.0571693,5,10,20
38.9878731,-76.8214819,5,10,20
41.443124,-87.630236,5,10,20
43.2874086,-76.1459694,5,10,20
37.3343774,-76.7351316,5,10,20
45.4967205,-122.8855271,5,10,20
39.7100498,-104.8090176,5,10,20
35.1383884,-80.6838072,5,10,20
38.7283483,-88.0850376,5,10,20
30.5845226,-97.4108196,5,10,20
37.3378879,-79.2385069,5,10,20
43.024668,-82.453188,5,10,20
38.871446,-104.721924,5,10,20
43.554651,-116.5815653,5,10,20
38.566409,-90.494717,5,10,20
42.9148334,-87.8851498,5,10,20
27.854199,-82.787673,5,10,20
33.0403127,-96.7559065,5,10,20
30.7325907,-95.5705724,5,10,20
42.0215101,-93.6181617,5,10,20
31.5789957,-90.441362,5,10,20
33.426918,-84.556964,5,10,20
34.7290535,-80.7551636,5,10,20
26.571545,-80.05499,5,10,20
30.4505886,-97.6944101,5,10,20
44.2802549,-88.315129,5,10,20
33.1920977,-79.9996305,5,10,20
43.8720247,-91.2197908,5,10,20
28.1126625,-80.6721556,5,10,20
41.941651,-91.714883,5,10,20
40.3855886,-80.0893718,5,10,20
40.7595016,-82.5532653,5,10,20
35.3863546,-119.1078458,5,10,20
40.7734506,-73.7967752,5,10,20
33.4507689,-111.7008915,5,10,20
37.3170426,-120.4705917,5,10,20
40.2871904,-111.6901868,5,10,20
33.8567731,-84.0330963,5,10,20
40.7331351,-89.6326993,5,10,20
37.9370847,-122.0263335,5,10,20
40.698429,-75.174336,5,10,20
38.7453521,-90.5991782,5,10,20
