suburb,state,country,lat,long,distance
Oak Bay,British Columbia,Canada,48.44964,-123.3026,1.35664
Victoria,British Columbia,Canada,48.4359,-123.35155,3.23816
Cadboro Bay,British Columbia,Canada,48.46667,-123.3,3.24537
Fairfield,British Columbia,Canada,48.41667,-123.35,3.91339
Maplewood,British Columbia,Canada,48.45619,-123.35346,3.9335
Bayridge,Ontario,Canada,44.24389,-76.58778,1.54514
Henderson Place,Ontario,Canada,44.23083,-76.57583,1.93233
LaSalle Park,Ontario,Canada,44.22601,-76.5716,2.40043
High Gate Park,Ontario,Canada,44.24917,-76.60111,2.56225
Auden Park,Ontario,Canada,44.22583,-76.58389,2.68524
Grenville Park,Ontario,Canada,44.24153,-76.53407,2.87749
Lakeland Acres,Ontario,Canada,44.22282,-76.57986,2.87774
Valleyview,Ontario,Canada,44.24889,-76.53278,2.90587
Balsam Grove,Ontario,Canada,44.24583,-76.5325,2.93039
Balmoral Park,Ontario,Canada,44.24556,-76.60806,3.1184
Thorton Woods,Ontario,Canada,43.90349,-78.89142,1.73221
Whitby,Ontario,Canada,43.88342,-78.93287,2.63451
Oshawa,Ontario,Canada,43.90012,-78.84957,4.31165
West Lynde,Ontario,Canada,43.87194,-78.95639,4.8483
Cedar Dale,Ontario,Canada,43.87848,-78.84143,4.96158
Sidney,British Columbia,Canada,48.64964,-123.40262,0.33957
Port Sidney,British Columbia,Canada,48.65046,-123.39569,0.41523
North Saanich,British Columbia,Canada,48.66634,-123.41933,2.55895
Swartz Bay,British Columbia,Canada,48.68294,-123.41933,4.20282
Rouge Hill,Ontario,Canada,43.79472,-79.13528,1.6443
Rosebank Station,Ontario,Canada,43.79694,-79.11778,1.72468
Fairport Beach,Ontario,Canada,43.815,-79.10361,2.29293
Rouge Park,Ontario,Canada,43.80636,-79.15985,2.34614
Port Union,Ontario,Canada,43.78541,-79.12705,2.66042
West Rouge,Ontario,Canada,43.78528,-79.12583,2.68821
Rouge,Ontario,Canada,43.80406,-79.16571,2.85402
Centennial,Ontario,Canada,43.78318,-79.14911,3.23818
Port Union,Ontario,Canada,43.7795,-79.13517,3.3158
Highland Creek,Ontario,Canada,43.79068,-79.17555,4.13623
Rutland Park,Alberta,Canada,51.0204,-114.13628,0.78618
Currie Barracks,Alberta,Canada,51.01791,-114.12229,0.9529
Killarney,Alberta,Canada,51.03065,-114.13997,0.98427
Richmond,Alberta,Canada,51.03056,-114.11389,1.17142
Glenbrook,Alberta,Canada,51.02971,-114.14561,1.28481
Glendale,Alberta,Canada,51.03287,-114.14477,1.40175
Shaganappi,Alberta,Canada,51.03848,-114.12804,1.44297
Mount Royal University,Alberta,Canada,51.01228,-114.13239,1.49632
Glamorgan,Alberta,Canada,51.01775,-114.14675,1.54157
Garrison Woods,Alberta,Canada,51.01332,-114.11353,1.7174
Lindsay,Ontario,Canada,44.35012,-78.73286,2.45841
Pickerel Point,Ontario,Canada,44.40833,-78.74139,4.08925
Kenrei Park,Ontario,Canada,44.40556,-78.7575,4.2433
Westbank,British Columbia,Canada,49.83521,-119.62532,0.61986
Gellatly,British Columbia,Canada,49.81667,-119.61667,1.80633
Glenrosa,British Columbia,Canada,49.85,-119.66667,3.42346
West Kelowna,British Columbia,Canada,49.8625,-119.58333,4.88786
Woodbine Heights,Ontario,Canada,43.69583,-79.31889,0.16097
Woodbine Lumsden,Ontario,Canada,43.69214,-79.3097,0.81075
Parkview Hill,Ontario,Canada,43.70651,-79.31893,1.08346
East York,Ontario,Canada,43.69053,-79.32794,1.0987
Parkview Hill,Ontario,Canada,43.70656,-79.32166,1.13504
Woodbine Heights,Ontario,Canada,43.69531,-79.33236,1.21583
East Danforth,Ontario,Canada,43.68566,-79.31279,1.29505
Woodbine Gardens,Ontario,Canada,43.70071,-79.29889,1.55543
Main Square,Ontario,Canada,43.68802,-79.30131,1.62592
Topham Park,Ontario,Canada,43.7097,-79.30665,1.67424
Renfrew,Ontario,Canada,45.46681,-76.68272,0.41401
Cotieville,Ontario,Canada,45.47989,-76.7171,2.93959
Idylwylde,Alberta,Canada,53.52255,-113.44937,0.54007
King Edward Park,Alberta,Canada,53.51572,-113.45753,0.58413
Bonnie Doon,Alberta,Canada,53.52449,-113.46577,0.69869
Holyrood,Alberta,Canada,53.5299,-113.45135,1.06518
Avonmore,Alberta,Canada,53.50946,-113.45191,1.3244
Mill Creek Ravine South,Alberta,Canada,53.5091,-113.46633,1.45527
Strathearn,Alberta,Canada,53.53421,-113.46281,1.52362
Mill Creek Ravine North,Alberta,Canada,53.52684,-113.47841,1.55987
Kenilworth,Alberta,Canada,53.52112,-113.43238,1.63728
Strathcona,Alberta,Canada,53.52083,-113.48333,1.74229
Courtice,Ontario,Canada,43.91682,-78.76626,1.82546
Harmony,Ontario,Canada,43.90417,-78.83417,3.82341
Taunton,Ontario,Canada,43.94361,-78.82917,4.5835
Hazeldean,Ontario,Canada,45.3001,-75.88266,0.41891
Glen Cairn,Ontario,Canada,45.29278,-75.88,0.82209
Katimavik Hazeldean,Prince Edward Island,Canada,45.30622,-75.89467,1.07086
Eaglesons Corners,Ontario,Canada,45.30428,-75.87583,1.1241
Kanata,Ontario,Canada,45.3001,-75.91606,2.27287
Bridlewood,Ontario,Canada,45.28522,-75.8569,2.77874
Kanata-Lakes,Prince Edward Island,Canada,45.32103,-75.91767,3.48926
Beaverbrook,Prince Edward Island,Canada,45.3302,-75.90597,3.85447
Westcliffe Estates,Ontario,Canada,45.31583,-75.83639,4.44496
Bells Corners,Ontario,Canada,45.31588,-75.83012,4.89257
